X Position,Y Position,Time,Angle,Speed,Active,Inactivity Time,Approaching Restrainer,Restrainer Approach Time,Restrainer Ignore Time,Stimulate,Tracking Timestamp
196,157,0.98604118112425,0,0,False,0.9860407534905598,False,0,0.9860407534905598,False,25.12491009001689
198,156,1.0340251020975444,0,46.60036,False,1.0340246744638542,False,0,1.0340246744638542,False,25.1709683764887
198,157,1.0807654643032798,0,21.39478,False,1.0807650366695896,False,0,1.0807650366695896,False,25.219405161538624
197,157,1.1269396395048012,0,21.65713,False,1.126939211871111,False,0,1.126939211871111,False,25.265435224186962
198,157,1.1712476212876055,0,22.5693,False,1.1712471936539153,False,0,1.1712471936539153,False,25.31145160255725
198,157,1.2204823708011716,0,0.0,False,1.2204819431674814,False,0,1.2204819431674814,False,25.358569137676668
198,157,1.2685342855310147,0,0.0,False,1.2685338578973244,False,0,1.2685338578973244,False,25.406903718274926
198,157,1.3138343774722578,0,0.0,False,1.3138339498385676,False,0,1.3138339498385676,False,25.453176676858604
198,157,1.3616138895422196,0,0.0,False,1.3616134619085294,False,0,1.3616134619085294,False,25.500481943167483
198,156,1.4081288887938612,0,21.49844,False,1.408128461160171,False,0,1.408128461160171,False,25.54695631721867
198,157,1.4548025401441116,0,21.42536,False,1.4548021125104214,False,0,1.4548021125104214,False,25.593323355213922
198,157,1.50374735401655,0,0.0,False,1.5037469263828598,False,0,1.5037469263828598,False,25.639925591738116
198,157,1.5556321495007381,0,0.0,False,1.555631721867048,False,0,1.555631721867048,False,25.687063653274606
198,152,1.6020744510252527,0,107.66047,True,0,False,0,1.6020740233915625,False,25.73410250379525
198,157,1.650473176676858,0,103.30851,True,0,False,0,1.6504727490431677,False,25.7813778357459
198,151,1.6961512967991617,0,131.35392,True,0,False,0,1.6961508691654714,False,25.82774102503795
198,157,1.743802518762429,0,125.91492,True,0,False,0,1.7438020911287389,False,25.875066817763905
198,157,1.7903585708482126,0,0.0,False,0.04655348628364919,False,0,1.7903581432145224,False,25.92112211079989
198,157,1.8376963373174533,0,0.0,False,0.0938912527528899,False,0,1.837695909683763,False,25.96855267377964
198,157,1.8835506425196193,0,0.0,False,0.13974555795505594,False,0,1.883550214885929,False,26.014669546066838
198,153,1.93082554683658,0,84.61149,False,0.18702046227201663,False,0,1.9308251192028898,False,26.06244093309671
198,156,1.979051936111528,0,62.20661,False,0.23524685154696456,False,0,1.9790515084778377,False,26.110175543629328
198,157,2.0248023263272685,0,21.85774,False,0.28099724176270513,False,0,2.0248018986935783,False,26.155951164232718
198,154,2.0728016421133653,0,62.50089,False,0.32899655754880186,False,0,2.072801214479675,False,26.203951762919882
198,157,2.134775599221708,0,48.40743,False,0.3909705146571447,False,0,2.134775171588018,False,26.265871410549725
198,156,2.1800778293313954,0,22.07397,False,0.436272744766832,False,0,2.180077401697705,False,26.311892065256902
198,157,2.2280159934999695,0,20.86021,False,0.4842109089354061,False,0,2.2280155658662792,False,26.359220423784986
198,157,2.273599606577008,0,0.0,False,0.5297945220124447,False,0,2.273599178943318,False,26.405232098184694
198,151,2.3216459620688923,0,124.8794,True,0,False,0,2.321645534435202,False,26.452294468558232
198,157,2.3693399474010555,0,125.80203,True,0,False,0,2.3693395197673652,False,26.500368192606214
198,157,2.4151053047959117,0,0.0,False,0.04576236395903166,False,0,2.4151048771622214,False,26.546755329384847
198,157,2.4614885928713477,0,0.0,False,0.09214565203446767,False,0,2.4614881652376575,False,26.592911971605123
198,157,2.5100682075733936,0,0.0,False,0.14072526673651353,False,0,2.5100677799397033,False,26.64108832773846
198,157,2.558469499027133,0,0.0,False,0.18912655819025304,False,0,2.558469071393443,False,26.688621950437255
198,157,2.6034796553272486,0,0.0,False,0.23413671449036855,False,0,2.6034792276935583,False,26.733948555667215
198,157,2.649635014646453,0,0.0,False,0.2802920738095729,False,0,2.6496345870127627,False,26.780892471508906
198,157,2.6961414612243146,0,0.0,False,0.3267985203874346,False,0,2.6961410335906244,False,26.82722871987855
198,157,2.7443545938549043,0,0.0,False,0.3750116530180243,False,0,2.744354166221214,False,26.875488464581238
198,157,2.7903594261155895,0,0.0,False,0.4210164852787095,False,0,2.7903589984818993,False,26.92182385768351
198,157,2.836377515020633,0,0.0,False,0.46703457418375294,False,0,2.8363770873869427,False,26.96795997348671
198,157,2.88431482392183,0,0.0,False,0.5149718830849501,False,0,2.88431439628814,False,27.015569714982146
198,157,2.9292052427890276,0,0.0,False,0.5598623019521476,False,0,2.9292048151553374,False,27.061590369689323
198,157,2.9772622891231357,0,0.0,False,0.6079193482862557,False,0,2.9772618614894455,False,27.108618101734056
198,157,3.0245632790951262,0,0.0,False,0.6552203382582462,False,0,3.024562851461436,False,27.156667450661764
198,157,3.0712993649639735,0,0.0,False,0.7019564241270935,False,0,3.0712989373302833,False,27.203690478735915
198,157,3.119058778250551,0,0.0,False,0.749715837413671,False,0,3.1190583506168608,False,27.250797750646797
197,157,3.1655866065128606,0,21.49251,False,0.7962436656759806,False,0,3.1655861788791704,False,27.297745942825376
197,157,3.2107314674250027,0,0.0,False,0.8413885265881227,False,0,3.2107310397913125,False,27.34282323761466
197,157,3.257853706515,0,0.0,False,0.8885107656781202,False,0,3.25785327888131,False,27.389852252560456
197,157,3.3048985439072887,0,0.0,False,0.9355556030704086,False,0,3.3048981162735984,False,27.436855609484915
196,157,3.3528397015116838,0,20.8589,False,0.9834967606748037,False,0,3.3528392738779935,False,27.484278902691955
198,157,3.3997494066582554,0,42.6351,False,1.0304064658213754,False,0,3.399748979024565,False,27.531285680685926
